hydrostatic
testname,hydrostatic
result,pass
bpressure,3.2168307011520563
sample,sample2
fluidname,
fluidvalue,
mode,null
recordy,
recordx,27.0
duration,1 min:6 sec
durationsecond,66
testtime,10:30:22
testdate,03/07/2021
customerid,N0048
indistry,
application,
splate,
ans,0.0,0.4695963988708324,0.45479514763103684,0.4486915388723583,0.44670786602578777,0.44525825894560156,0.43816281376363775,0.435034714274815,0.4346532387273976,0.7126726176852064,0.6775768673228046,0.6754406042572672,0.6639200427252613,0.6636911573968108,0.6634622720683604,0.66323338673991,0.6620126649881742,1.2284275577935455,1.2836652170595866,1.2437628747997254,1.222629129472801,1.268711375600824,1.249713893339437,1.2285801480125125,1.2741283283741511,2.33501182574197,2.310521095597772,2.2877851529716944,2.3398184176394294,2.305638208590829,2.3598077363241017,2.293125810635538,2.280766002899214,3.1840238040741586,3.1905851834897385,3.14877546349279,3.209811551079576,3.1626611734187837,3.190508888380255,3.2168307011520563,3.224383916990921
t,12.0,13.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0,24.0,25.0,26.0,28.0,29.0,31.0,32.0,33.0,35.0,36.0,37.0,39.0,40.0,41.0,43.0,44.0,45.0,47.0,48.0,50.0,51.0,52.0,54.0,55.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,66.0
btime,5,5,5,5,5,5,5
bpoints,0,0,1.75,3.5,7,14,20
bresult,Pass,Pass,Pass,Pass,Pass,Pass,Pass
